Label,Pixels
n02098413-Lhasa,[214 211 208 ...  80  83  81]
n02098413-Lhasa,[51 69 75 ... 64 62 60]
n02098413-Lhasa,[ 58  58  58 ...  77  90 100]
n02098413-Lhasa,[  2   2   2 ... 105 105 104]
n02098413-Lhasa,[228 232 232 ...  11  12  13]
n02098413-Lhasa,[ 46  46  46 ... 119 117 121]
n02098413-Lhasa,[134 139 163 ...  22  21  20]
n02098413-Lhasa,[255 255 255 ... 201 201 194]
n02098413-Lhasa,[115 115 115 ...  30  30  30]
n02098413-Lhasa,[ 18  19  23 ... 162 158 158]
n02098413-Lhasa,[160 162 163 ...  31 128 166]
n02098413-Lhasa,[ 77  78  79 ... 160 157 154]
n02098413-Lhasa,[ 78  77  84 ...  86 153 133]
n02098413-Lhasa,[104 105 107 ... 198 197 196]
n02098413-Lhasa,[152 136 143 ... 113 111 130]
n02098413-Lhasa,[ 1  1  1 ... 40 40 47]
n02098413-Lhasa,[ 9  8  8 ... 45 46 47]
n02098413-Lhasa,[194 196 198 ... 104  97  87]
n02098413-Lhasa,[3 4 4 ... 9 8 7]
n02098413-Lhasa,[ 12  12  12 ... 167 167 167]
n02098413-Lhasa,[76 76 76 ... 57 62 66]
n02098413-Lhasa,[156 156 156 ...  64  65  65]
n02098413-Lhasa,[63 55 53 ... 53 53 54]
n02098413-Lhasa,[ 5  6  6 ... 41 40 38]
n02098413-Lhasa,[  1   1   1 ... 157 157 157]
n02098413-Lhasa,[150 131 128 ...  10   8   8]
n02098413-Lhasa,[ 5  8 13 ... 54 54 54]
n02098413-Lhasa,[221 224 227 ... 137 137 137]
n02098413-Lhasa,[ 3  3  3 ... 90 87 88]
n02098413-Lhasa,[ 20  20  20 ... 135 132 130]
n02098413-Lhasa,[51 48 52 ... 32 35 37]
n02098413-Lhasa,[175 120 118 ... 207 119 117]
n02098413-Lhasa,[36 34 50 ... 48 36 47]
n02098413-Lhasa,[117 116 124 ... 127 185 184]
n02098413-Lhasa,[16 15 13 ... 58 57 57]
n02098413-Lhasa,[252 250 252 ...  91 102 253]
n02098413-Lhasa,[65 64 63 ... 90 92 61]
n02098413-Lhasa,[ 27  27  26 ... 139 139 140]
n02098413-Lhasa,[208 208 208 ...  71  64  61]
n02098413-Lhasa,[  5   5   5 ... 109  99  94]
n02098413-Lhasa,[70 70 70 ... 81 82 83]
n02098413-Lhasa,[ 11  11  10 ... 171 171 169]
n02098413-Lhasa,[ 11  30  50 ... 102 102 102]
n02098413-Lhasa,[ 69  73  79 ... 151 166 174]
n02098413-Lhasa,[38 37 35 ...  8 11 13]
n02098413-Lhasa,[45 47 50 ... 39 40 41]
n02098413-Lhasa,[249 251 253 ... 134 115 114]
n02098413-Lhasa,[ 70  75  76 ... 116 117 118]
n02098413-Lhasa,[ 25  23  24 ... 153 151 150]
n02098413-Lhasa,[ 97  99 103 ...   8   8   8]
n02098413-Lhasa,[ 21  22  24 ... 180 184 185]
n02098413-Lhasa,[136 138 138 ... 122 118 124]
n02098413-Lhasa,[ 53  52  51 ... 226 226 226]
n02098413-Lhasa,[15 14 14 ... 29 28 28]
n02098413-Lhasa,[ 51  51  52 ... 105 191 114]
n02098413-Lhasa,[35 27 30 ... 71 70 69]
n02098413-Lhasa,[30 30 29 ... 88 85 86]
n02098413-Lhasa,[211 211 210 ...  33  35  33]
n02098413-Lhasa,[ 99 100 101 ... 108  97  91]
n02098413-Lhasa,[203 203 203 ...  70  72  72]
n02098413-Lhasa,[134 134 134 ...  45  47  48]
n02098413-Lhasa,[248 248 248 ... 191 197 196]
n02098413-Lhasa,[ 81  82  82 ... 135 133 130]
n02098413-Lhasa,[ 82  82  83 ...  82  91 101]
n02098413-Lhasa,[ 28  30  33 ... 115  98 102]
n02098413-Lhasa,[  2   3   4 ... 158 162 165]
